OMNIWeb Plus Browser Results

Listing for omni_min data from 20170907 to 20170909
Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Proton Density, n/cc
 6 AL-index, nT
 7 AU-index, nT
 8 SYM/H, nT
 9 ASY/H, nT

YYYY DOY HR MN      1       2       3       4      5     6     7     8     9 
2017 250  1 15    1.95  -13.31    5.48  -575.4  15.42    -3    86    50    24
2017 250  1 16    1.88  -13.80    5.81  -573.3  13.21    -4   103    50    23
2017 250  1 17    2.23  -13.19    5.60  -573.3  13.21    -7   105    50    23
2017 250  1 18    2.58  -13.43    5.61 99999.9 999.99    -6   102    49    24
2017 250  1 19    1.19  -13.43    4.47 99999.9 999.99    -7   104    49    23
2017 250  1 20    1.21  -14.42    4.91  -556.6  11.70   -10   110    49    24
2017 250  1 21    0.75  -14.40    4.89  -562.1  11.72   -13   115    48    23
2017 250  1 22    1.25  -14.15    4.40  -568.5  11.75    -6   102    48    27
2017 250  1 23    2.83  -13.97    3.73 99999.9 999.99    -1    94    50    28
2017 250  1 24    0.50  -13.69    6.49  -564.0  11.97    -3    96    51    27
2017 250  1 25    1.59  -12.96    6.03  -567.2  12.35    -8   106    52    25
2017 250  1 26    1.06  -12.25    6.17  -570.4  13.96   -12    98    52    24
2017 250  1 27    0.19  -10.76    6.77  -570.4  14.06   -10    92    51    26
2017 250  1 28   -0.18  -10.43    7.17  -569.0  15.01   -12   103    51    27
2017 250  1 29    0.32  -12.16    6.41  -565.9  13.96   -17   111    50    26
2017 250  1 30   -0.81   -9.52    8.07  -564.1  13.44   -20   108    50    26
2017 250  1 31   -2.27   -0.62   10.93  -565.6  15.47   -15   103    50    28
2017 250  1 32   -2.31    4.63   11.79  -568.3  16.09   -14   101    50    29
2017 250  1 33   -0.64   -5.89    8.31  -571.3  16.80   -14   104    50    27
2017 250  1 34   -0.58   -3.38   10.52  -571.6  19.52    -8   106    52    28
2017 250  1 35   -1.68    0.76   12.68  -572.4  17.66    -5   100    54    27
2017 250  1 36   -3.27    0.36   13.77  -574.0  16.05   -19   109    55    26
2017 250  1 37   -3.76   -0.48   14.41  -573.4  16.80   -12   110    54    25
2017 250  1 38   -4.21   -1.29   15.59  -572.2  15.46   -12   103    54    30
2017 250  1 39   -3.01    1.35   17.11  -575.3  12.77     4    95    55    29
2017 250  1 40   -2.96    2.73   17.21  -579.8  11.20   -12   102    55    26
2017 250  1 41   -0.14    7.66   16.89 99999.9 999.99    -3   108    53    27
2017 250  1 42   -0.85    6.84   16.73  -558.0  12.95     4    94    52    33
2017 250  1 43    1.23    8.07   15.02  -560.8  13.05     1    85    50    32
2017 250  1 44    1.51    7.57   14.14  -561.6  13.24     7    86    48    31
2017 250  1 45    2.18    9.75   12.85  -556.6  13.06     9    83    47    31
2017 250  1 46    1.48   10.46   11.35  -559.4  14.10    12    71    47    35
2017 250  1 47    5.66   10.43   11.81  -560.9  14.45     7    69    47    33
2017 250  1 48    6.28    9.14    7.97 99999.9 999.99    10    69    48    30
2017 250  1 49    3.10    9.20    6.01  -544.1  12.07     7    69    49    30
2017 250  1 50    5.66    8.81   -1.25  -544.1  12.07    12    66    49    31
2017 250  1 51    2.57    4.55    0.46  -549.2  12.47    11    65    50    30
2017 250  1 52   -3.33   -3.86    5.84  -556.2  13.01     8    70    49    30
2017 250  1 53   -3.93   -6.58    5.33  -553.7  13.83     9    72    48    29
2017 250  1 54   -3.35   -7.74    6.47  -552.2  13.12    11    65    47    32
2017 250  1 55   -2.16   -5.41    5.97  -551.7  12.85    11    65    46    32
2017 250  1 56   -2.29   -5.11    6.39 99999.9 999.99    10    66    45    31
2017 250  1 57   -2.87   -5.09    6.59 99999.9 999.99     5    69    44    32
2017 250  1 58 9999.99 9999.99 9999.99 99999.9 999.99    12    72    44    31
2017 250  1 59 9999.99 9999.99 9999.99 99999.9 999.99    13    69    44    31
2017 250  2  0   -2.71   -5.15    5.39  -553.1  13.76    13    70    43    30
2017 250  2  1   -2.12   -3.63    5.24  -554.0  13.89     4    74    42    30
2017 250  2  2   -1.43    3.15    5.73  -556.0  14.40    10    71    41    31
2017 250  2  3   -2.44   -1.15    6.97  -558.1  14.95    15    69    41    30
2017 250  2  4   -2.69    0.92    8.15 99999.9 999.99    14    76    41    29
2017 250  2  5   -2.50    1.93    8.21  -557.9  14.55    13    68    41    29
2017 250  2  6   -3.09    2.38    8.80  -557.9  14.55    12    68    41    29
2017 250  2  7   -3.17    1.76    9.39  -557.9  14.55    15    69    42    28
2017 250  2  8   -3.33    1.26    9.48 99999.9 999.99    14    73    43    27
2017 250  2  9   -1.27    0.60    9.04  -555.2  14.83    13    75    44    26
2017 250  2 10   -1.63   -2.57    8.76  -555.2  14.83    15    81    45    26
2017 250  2 11   -1.70   -3.72    7.84  -555.2  14.83    11    83    45    25
2017 250  2 12   -1.15   -5.19    7.16  -552.1  13.48     6    81    45    25
2017 250  2 13   -0.39   -5.24    6.23  -552.1  13.48     8    84    45    25
2017 250  2 14   -0.07   -8.99    3.55  -556.3  12.22    13    83    44    26
2017 250  2 15    1.04   -5.05    8.44  -559.8  12.13    15    81    44    28
2017 250  2 16    0.97   -6.08    5.58  -562.0  12.07    17    80    44    28
2017 250  2 17    1.51   -7.56    2.31 99999.9 999.99    16    83    44    27
2017 250  2 18 9999.99 9999.99 9999.99 99999.9 999.99    14    84    44    27
2017 250  2 19 9999.99 9999.99 9999.99 99999.9 999.99    15    80    44    28
2017 250  2 20 9999.99 9999.99 9999.99 99999.9 999.99    14    83    45    27
2017 250  2 21 9999.99 9999.99 9999.99 99999.9 999.99    16    85    44    27
2017 250  2 22 9999.99 9999.99 9999.99 99999.9 999.99    17    89    45    27
2017 250  2 23 9999.99 9999.99 9999.99 99999.9 999.99    13    94    45    28
2017 250  2 24 9999.99 9999.99 9999.99 99999.9 999.99    13    91    46    28
2017 250  2 25 9999.99 9999.99 9999.99 99999.9 999.99    17    95    46    28
2017 250  2 26 9999.99 9999.99 9999.99 99999.9 999.99    14    94    46    29
2017 250  2 27 9999.99 9999.99 9999.99 99999.9 999.99    17    87    46    31
2017 250  2 28 9999.99 9999.99 9999.99 99999.9 999.99    18    84    47    31
2017 250  2 29 9999.99 9999.99 9999.99 99999.9 999.99    18    86    48    31
2017 250  2 30 9999.99 9999.99 9999.99 99999.9 999.99    16    91    48    31
2017 250  2 31 9999.99 9999.99 9999.99 99999.9 999.99    16    92    47    31
2017 250  2 32 9999.99 9999.99 9999.99 99999.9 999.99    11   105    47    32
2017 250  2 33 9999.99 9999.99 9999.99 99999.9 999.99     6   124    47    31
2017 250  2 34 9999.99 9999.99 9999.99 99999.9 999.99     2   125    48    28
2017 250  2 35 9999.99 9999.99 9999.99 99999.9 999.99     0   135    48    28
2017 250  2 36 9999.99 9999.99 9999.99 99999.9 999.99    -2   139    48    29
2017 250  2 37 9999.99 9999.99 9999.99 99999.9 999.99    -2   148    47    30
2017 250  2 38 9999.99 9999.99 9999.99 99999.9 999.99    -6   131    47    29
2017 250  2 39 9999.99 9999.99 9999.99 99999.9 999.99    -7   129    47    28
2017 250  2 40 9999.99 9999.99 9999.99 99999.9 999.99   -11   146    46    28
2017 250  2 41 9999.99 9999.99 9999.99 99999.9 999.99   -15   164    45    29
2017 250  2 42 9999.99 9999.99 9999.99 99999.9 999.99   -26   169    45    30
2017 250  2 43 9999.99 9999.99 9999.99 99999.9 999.99   -27   177    45    31
2017 250  2 44 9999.99 9999.99 9999.99 99999.9 999.99   -29   187    45    32
2017 250  2 45 9999.99 9999.99 9999.99 99999.9 999.99   -31   206    45    31
2017 250  2 46 9999.99 9999.99 9999.99 99999.9 999.99   -37   208    45    31
2017 250  2 47 9999.99 9999.99 9999.99 99999.9 999.99   -45   208    45    33
2017 250  2 48 9999.99 9999.99 9999.99 99999.9 999.99   -50   210    46    33
2017 250  2 49   -0.09   -5.98    4.19 99999.9 999.99   -53   212    45    34
2017 250  2 50   -0.18   -7.42    4.62 99999.9 999.99   -56   222    45    33
2017 250  2 51   -0.34   -6.84    3.89 99999.9 999.99   -54   213    45    32
2017 250  2 52   -0.46   -8.22    3.72 99999.9 999.99   -52   193    44    31
2017 250  2 53    0.00   -8.40    2.23 99999.9 999.99   -49   179    43    29
2017 250  2 54    0.21   -6.45    1.13 99999.9 999.99   -39   177    43    29
2017 250  2 55    0.95   -6.75    1.17 99999.9 999.99   -30   168    42    32
2017 250  2 56    1.64   -6.86    1.17 99999.9 999.99   -29   155    42    32
2017 250  2 57    0.90   -6.40    0.73  -562.1  12.41   -32   148    42    30
2017 250  2 58    2.00   -6.50   -1.47  -562.1  12.41   -30   154    41    30
2017 250  2 59    2.72   -3.45   -5.09  -562.1  12.41   -27   149    40    31
2017 250  3  0    1.16   -3.81    0.13  -554.8  12.69   -24   140    40    31
2017 250  3  1    4.05   -0.91   -6.03  -558.0  12.94   -25   142    39    31
