OMNIWeb Plus Browser Results

Listing for omni_min data from 20130514 to 20130514
Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Proton Density, n/cc
 6 AL-index, nT
 7 AU-index, nT
 8 SYM/H, nT
 9 ASY/H, nT

YYYY DOY HR MN      1       2       3       4      5     6     7     8     9 
2013 134  0  0    2.86    1.44    3.24  -369.8   8.72   -87    23    18    31
2013 134  0  1    3.25    1.41    3.39  -369.8   8.72   -87    22    18    31
2013 134  0  2    3.64    1.34    3.54  -369.8   8.72   -87    22    18    30
2013 134  0  3    2.84    1.54    3.29 99999.9 999.99   -88    21    18    30
2013 134  0  4    3.32    1.54    3.47  -363.8   7.13   -88    21    18    30
2013 134  0  5    2.91    1.59    3.25  -363.8   7.13   -87    20    18    29
2013 134  0  6    3.56    1.60    3.38  -363.8   7.13   -87    20    17    29
2013 134  0  7    2.68    1.73    3.17  -369.8   8.70   -87    21    17    29
2013 134  0  8    3.47    1.72    3.56  -369.8   8.70   -87    21    18    29
2013 134  0  9    3.03    1.66    3.39  -369.8   8.70   -88    21    18    29
2013 134  0 10    2.95    1.77    3.22 99999.9 999.99   -88    22    18    29
2013 134  0 11    2.75    1.78    3.38 99999.9 999.99   -87    22    18    28
2013 134  0 12    2.23    1.16    3.38 99999.9 999.99   -87    24    19    29
2013 134  0 13    2.75    1.73    3.17 99999.9 999.99   -87    27    19    29
2013 134  0 14    3.17    1.55    3.87 99999.9 999.99   -89    27    19    29
2013 134  0 15    2.61    1.57    3.23 99999.9 999.99   -90    23    20    29
2013 134  0 16    2.43    1.43    3.40  -365.5   8.52   -90    23    20    28
2013 134  0 17    2.22    1.40    3.28  -365.4   8.29   -90    28    20    28
2013 134  0 18    2.19    1.69    3.44  -365.4   8.74   -89    28    19    29
2013 134  0 19    2.24    2.19    3.33  -366.0   8.32   -89    26    19    29
2013 134  0 20    2.44    2.68    3.13  -365.8   7.14   -88    24    19    28
2013 134  0 21    2.41    2.62    3.10  -361.3   6.90   -88    23    18    28
2013 134  0 22    2.24    2.22    3.09  -366.5   8.20   -88    21    18    28
2013 134  0 23    2.28    2.53    3.33  -368.5   8.28   -88    20    18    27
2013 134  0 24    2.26    2.80    3.16  -363.2   7.89   -88    20    18    27
2013 134  0 25    2.05    2.70    3.06  -362.5   7.75   -87    19    18    27
2013 134  0 26    2.19    2.89    3.14  -364.5   7.08   -88    19    18    27
2013 134  0 27    2.10    2.73    3.21  -362.4   7.36   -88    20    18    27
2013 134  0 28    1.98    2.82    3.15  -365.8   7.31   -88    20    18    27
2013 134  0 29    2.23    2.78    3.31  -364.9   7.58   -88    20    19    26
2013 134  0 30    1.95    2.62    3.36  -365.6   8.10   -89    20    19    26
